tv_show_name,tv_show_id,created_at,notification_type,folder_id,notification_offset,user_id,updated_at,active,diffusion,archived
Lost,73739,2020-07-26 07:22:07,2,,1440,42659028,2020-07-26 07:22:07,1,original,0
Prison Break,75340,2021-01-03 09:12:11,2,,1440,42659028,2021-01-03 09:12:11,1,original,0
Supernatural,78901,2020-07-26 07:38:24,2,,1440,42659028,2020-07-26 07:38:24,1,original,0
Breaking Bad,81189,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
Fringe,82066,2020-07-26 07:21:26,2,,1440,42659028,2020-07-26 07:21:26,1,original,0
Game of Thrones,121361,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
Strike Back,148581,2020-07-26 07:25:58,2,,1440,42659028,2020-07-26 07:25:58,1,original,0
The Walking Dead,153021,2020-07-26 07:41:36,2,,1440,42659028,2020-07-26 07:41:36,1,original,0
Nikita,164301,2020-07-26 07:37:06,2,,1440,42659028,2020-07-26 07:37:06,1,original,0
Scooby-Doo! Mystery Incorporated,174681,2022-03-09 23:46:59,2,,1440,42659028,2022-03-09 23:46:59,1,original,0
Teen Wolf,175001,2020-07-26 07:39:52,2,,1440,42659028,2020-07-26 07:39:52,1,original,0
Sherlock,176941,2020-07-26 07:37:29,2,,1440,42659028,2020-07-26 07:37:29,1,original,0
Da Vinci's Demons,259669,2020-07-26 07:36:39,2,,1440,42659028,2020-07-26 07:36:39,1,original,0
Banshee,259765,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
Under the Dome,264492,2020-07-26 07:42:04,2,,1440,42659028,2020-07-26 07:42:04,1,original,0
The Tomorrow People (US),268591,2020-07-26 07:28:32,2,,1440,42659028,2020-07-26 07:28:32,1,original,0
The 100,268592,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
The Last Ship,269533,2020-07-26 07:26:35,2,,1440,42659028,2020-07-26 07:26:35,1,original,0
Wayward Pines,269750,2020-07-26 07:29:01,2,,1440,42659028,2020-07-26 07:29:01,1,original,0
Peaky Blinders,270915,2020-10-25 04:26:36,2,,1440,42659028,2020-10-25 04:26:40,1,original,0
Better Call Saul,273181,2021-03-03 15:31:50,2,,1440,42659028,2021-03-03 15:31:50,1,original,0
The Strain,276564,2020-10-25 04:26:06,2,,1440,42659028,2020-10-25 04:26:06,1,original,0
Scorpion,281630,2020-07-26 07:23:44,2,,1440,42659028,2020-07-26 07:23:44,1,original,0
Marvel's Daredevil,281662,2020-07-26 07:22:58,2,,1440,42659028,2020-07-26 07:22:58,1,original,0
Narcos,282670,2020-10-04 04:17:19,2,,1440,42659028,2020-10-04 04:17:19,1,original,0
The Shannara Chronicles,289096,2020-07-26 07:27:59,2,,1440,42659028,2020-07-26 07:27:59,1,original,0
Mr. Robot,289590,2020-07-26 07:23:24,2,,1440,42659028,2020-07-26 07:23:24,1,original,0
