series_name,gsi,user_id,created_at,episode_id,season_number,episode_number,s_id,key,ep_id,updated_at,total_movies_runtime,movie_watch_count,ep_watch_count,total_series_runtime,series_follow_count,most_recent_ep_watched,is_archived,is_followed,uuid,is_for_later,followed_at,ep_no,s_no,rewatch_count,is_unitary,runtime,bulk_type
Blindspot,watch-episode-1595765111,42659028,2020-07-26 09:05:11,5258915,1,1,295647,rewatch-episode-24ab895a-31e7-4e54-821e-5cdf533425ab-defab5bb-d99e-4677-acfd-cba75890b585-1,5258915,,,,,,,,,,,,,,,,,,
,,42659028,2021-11-12 17:08:46,,,,,tracking-stats,,2024-01-01 03:40:29,1537140,207,1100,3183900,66,,,,,,,,,,,,
Fringe,,42659028,2020-07-26 07:21:26,,,,82066,user-series-02531a20-2745-4f3c-b0b0-25475135b863,,2020-07-26 07:21:26,,,20,,,map[ep_id:497841 ep_no:20 s_no:1 uuid:4da0f214-e14a-47e7-87e3-2395f1ff6057 watch_date:1.595758894e+15],false,true,02531a20-2745-4f3c-b0b0-25475135b863,false,,,,,,,
The Fast and the Furious,,42659028,2020-07-26 07:42:59,,,,355375,user-series-0579711d-0fb9-4a19-9ab1-777f03b4fbfe,,2020-07-26 07:42:59,,,9,,,map[ep_id:6.901475e+06 ep_no:1 s_no:2 uuid:589ce3ea-c2df-4b5f-8b09-47b083b5824b watch_date:1.595765227e+15],false,true,0579711d-0fb9-4a19-9ab1-777f03b4fbfe,false,,,,,,,
Rasbhari,,42659028,2020-10-22 07:02:55,,,,362330,user-series-06ecacd7-d627-433e-b8e5-0c3e9a07e46e,,2020-10-22 07:02:55,,,8,,,map[ep_id:7.810609e+06 ep_no:8 s_no:1 uuid:f542a6bc-650c-4685-8a89-92132b09512b watch_date:1.603360991e+15],false,true,06ecacd7-d627-433e-b8e5-0c3e9a07e46e,false,,,,,,,
The Walking Dead,,42659028,2020-07-26 07:41:36,,,,153021,user-series-07be9c76-6122-46e8-b499-ab0dff2f530b,,2020-07-26 07:41:36,,,,,,,false,true,07be9c76-6122-46e8-b499-ab0dff2f530b,false,,,,,,,
Peaky Blinders,,42659028,2020-10-25 04:26:36,,,,270915,user-series-0a968eff-7d1f-45ac-a096-923adbc24c9f,,2020-10-25 04:26:40,,,,,,,false,true,0a968eff-7d1f-45ac-a096-923adbc24c9f,false,,,,,,,
The Strain,,42659028,2020-10-25 04:26:06,,,,276564,user-series-0b6d1a81-e831-4020-ba96-4eedd71ded4d,,2020-10-25 04:26:06,,,13,,,map[ep_id:4.768429e+06 ep_no:13 s_no:1 uuid:14d23e22-2893-4ded-bb62-93ed7e8cbdbf watch_date:1.603610766e+15],false,true,0b6d1a81-e831-4020-ba96-4eedd71ded4d,false,,,,,,,
The Falcon and The Winter Soldier,,42659028,2022-10-28 18:41:09,,,,362496,user-series-1763c8a3-9a48-47c6-9743-332ad05c9ef5,,2022-10-28 18:41:09,,,0,,,,false,true,1763c8a3-9a48-47c6-9743-332ad05c9ef5,false,1666993269266920,,,,,,
Black Summer,,42659028,2020-10-28 16:22:08,,,,350587,user-series-1e0da527-6080-4e48-9351-3dc5cc1fbec6,,2020-10-28 16:22:08,,,8,,,map[ep_id:6.768335e+06 ep_no:8 s_no:1 uuid:89a7fd9a-8cc7-487c-bca5-f779331186b0 watch_date:1.603912939e+15],false,true,1e0da527-6080-4e48-9351-3dc5cc1fbec6,false,,,,,,,
Under the Dome,,42659028,2020-07-26 07:42:04,,,,264492,user-series-1ed04f80-f923-49de-8c6d-eb030c4e5df4,,2020-07-26 07:42:04,,,26,,,map[ep_id:4.936662e+06 ep_no:13 s_no:2 uuid:888890c6-189b-4eae-a3eb-4b79e706a92a watch_date:1.595760126e+15],false,true,1ed04f80-f923-49de-8c6d-eb030c4e5df4,false,,,,,,,
The Witcher,,42659028,2020-07-26 07:13:40,,,,362696,user-series-24103834-63c7-4528-b27d-5df787c89fa7,,2020-07-26 07:13:47,,,,,,,false,true,24103834-63c7-4528-b27d-5df787c89fa7,false,,,,,,,
Blindspot,,42659028,2020-07-26 07:15:06,,,,295647,user-series-24ab895a-31e7-4e54-821e-5cdf533425ab,,2020-07-26 07:15:06,,,45,,,map[ep_id:6.035813e+06 ep_no:22 s_no:2 uuid:8aa4f9ce-6727-44c4-911d-048df4174145 watch_date:1.595758526e+15],false,true,24ab895a-31e7-4e54-821e-5cdf533425ab,false,,,,,,,
,,42659028,2022-07-08 07:11:29,,,,356520,user-series-275ce596-a066-4146-a509-0330bb1131de,,2022-07-08 07:11:29,,,0,,,,false,true,275ce596-a066-4146-a509-0330bb1131de,false,1657275089640223,,,,,,
Game of Thrones,,42659028,2020-07-26 07:11:08,,,,121361,user-series-287af253-6403-4c36-80f0-149b0188f371,,2020-07-26 07:11:08,,,73,,,map[ep_id:7.121405e+06 ep_no:6 s_no:8 uuid:950d7457-0ce9-48da-b31d-f154d5003313 watch_date:1.595758268e+15],false,true,287af253-6403-4c36-80f0-149b0188f371,false,,,,,,,
Sex Education,,42659028,2020-07-26 07:11:08,,,,356317,user-series-2ca857f5-aa12-4c60-8f01-3615da41dc09,,2020-07-26 07:11:08,,,24,,,map[ep_id:8.507469e+06 ep_no:8 s_no:3 uuid:9aed750b-8bf2-4728-8880-38d914c89d34 watch_date:1.634752827e+15],false,true,2ca857f5-aa12-4c60-8f01-3615da41dc09,false,,,,,,,
Da Vinci's Demons,,42659028,2020-07-26 07:36:39,,,,259669,user-series-313957fb-4ae1-4f1c-8759-6323b649dafc,,2020-07-26 07:36:39,,,28,,,map[ep_id:5.32054e+06 ep_no:10 s_no:3 uuid:906062fe-4bb6-4262-a8ea-1eaab7ae9fd3 watch_date:1.595759808e+15],false,true,313957fb-4ae1-4f1c-8759-6323b649dafc,false,,,,,,,
Prison Break,,42659028,2020-10-25 04:27:50,,,,360115,user-series-38d5e065-0083-43a6-8f4f-cfcce4b80e72,,2020-10-25 04:27:50,,,,,,,false,true,38d5e065-0083-43a6-8f4f-cfcce4b80e72,false,,,,,,,
Stranger Things,,42659028,2020-07-26 07:11:08,,,,305288,user-series-53b351ca-a2da-4c7e-b581-c7d2bdbaf798,,2020-07-26 07:11:08,,,25,,,map[ep_id:6.934003e+06 ep_no:8 s_no:3 uuid:81781c4c-dc8c-4e3d-96f3-d50d531d2c92 watch_date:1.595758268e+15],false,true,53b351ca-a2da-4c7e-b581-c7d2bdbaf798,false,,,,,,,
Lucifer,,42659028,2020-07-26 07:22:26,,,,295685,user-series-5468fa91-c611-46ca-8bef-088d8e637892,,2020-07-26 07:22:26,,,31,,,map[ep_id:5.961189e+06 ep_no:18 s_no:2 uuid:154ef0b7-2f4a-491c-bd52-1ecea1f1f6f5 watch_date:1.595758947e+15],false,true,5468fa91-c611-46ca-8bef-088d8e637892,false,,,,,,,
The Last Ship,,42659028,2020-07-26 07:26:35,,,,269533,user-series-5cc6ffb8-9068-4bf0-b5b1-3d62ce826b9a,,2020-07-26 07:26:35,,,36,,,map[ep_id:5.692738e+06 ep_no:13 s_no:3 uuid:cbeef85a-8d7a-4af9-b3e8-223c07539206 watch_date:1.595759238e+15],false,true,5cc6ffb8-9068-4bf0-b5b1-3d62ce826b9a,false,,,,,,,
What If…?,,42659028,2022-05-23 08:12:34,,,,367147,user-series-5f58bd44-9a02-4a18-b10c-76c8ed5c3716,,2022-05-23 08:12:38,,,9,,,map[ep_id:8.538343e+06 ep_no:9 s_no:1 uuid:9bbd791c-64c4-4fdd-9d9a-fe48d83923c2 watch_date:1.653304358951374e+15],false,true,5f58bd44-9a02-4a18-b10c-76c8ed5c3716,false,1653304354638249,,,,,,
Mr. Robot,,42659028,2020-07-26 07:23:24,,,,289590,user-series-5f60cd9e-901f-47da-9bc5-9d6dc990d02c,,2020-07-26 07:23:24,,,10,,,map[ep_id:5.240617e+06 ep_no:10 s_no:1 uuid:5b5bb299-54ed-4086-90b1-8b2a1f9cf841 watch_date:1.595759004e+15],false,true,5f60cd9e-901f-47da-9bc5-9d6dc990d02c,false,,,,,,,
House of the Dragon,,42659028,2022-09-04 10:37:49,,,,371572,user-series-613466e5-f140-4ea5-ba53-7a3ce3cdbebc,,2022-12-28 02:11:46,,,9,,,map[ep_id:9.082155e+06 ep_no:10 s_no:1 uuid:62304adb-59fe-41d4-aa0b-0da08e1006c6 watch_date:1.672204306546477e+15],false,true,613466e5-f140-4ea5-ba53-7a3ce3cdbebc,false,1662298669162505,,,,,,
