series_name,created_at,series_id,watch_count,uuid,type-uuid-n,updated_at,user_id,type,watches,alpha_range_key,release_date_range_key,runtime,entity_type,follow_date_range_key,release_date,movie_name,rewatch_count,series_uuid,season_number,episode_number,watch_date,episode_id,total_movies_runtime,total_series_runtime,unitarian,country,watch_date_range_key,bulk_type,watched_episode_range_key
Sex Education,2021-10-20 14:59:55,356317,8,2ca857f5-aa12-4c60-8f01-3615da41dc09,count-watch-episode-series-2ca857f5-aa12-4c60-8f01-3615da41dc09,2021-10-20 15:00:27,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
A Teacher,2021-05-19 16:03:58,352440,10,73d268e4-5108-4bef-8c58-4e016b124a6f,count-watch-episode-series-73d268e4-5108-4bef-8c58-4e016b124a6f,2021-05-19 16:03:58,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
Mrs. Fletcher,2021-11-07 13:54:26,366195,2,a12147aa-3c95-46f5-98a4-c506b066af38,count-watch-episode-series-a12147aa-3c95-46f5-98a4-c506b066af38,2021-11-07 13:54:27,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
The Innocent,2021-06-07 16:41:23,388477,8,afcf83d6-21f2-4df4-9e68-835fa3b87ab1,count-watch-episode-series-afcf83d6-21f2-4df4-9e68-835fa3b87ab1,2021-07-31 02:09:54,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
,2020-12-29 00:38:36,362299,4,b687b732-d96e-491e-9bc6-b93ea49b2843,count-watch-episode-series-b687b732-d96e-491e-9bc6-b93ea49b2843,2020-12-29 00:39:11,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
Euphoria (US),2021-06-07 03:05:41,360261,8,bccb4efc-6c1f-4af3-849d-9b303c0426c4,count-watch-episode-series-bccb4efc-6c1f-4af3-849d-9b303c0426c4,2021-06-07 03:05:41,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
Banshee,2020-12-27 12:32:18,259765,8,ee4484f4-a020-45b2-880b-95f4b9694d6f,count-watch-episode-series-ee4484f4-a020-45b2-880b-95f4b9694d6f,2020-12-27 12:32:18,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
See,2020-12-27 12:33:42,361565,5,f50c00d5-cd1f-4132-b1a3-1c5f3823dcef,count-watch-episode-series-f50c00d5-cd1f-4132-b1a3-1c5f3823dcef,2021-06-07 09:06:02,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
Money Heist,2021-05-19 16:04:35,327417,8,fc2e10fd-490d-4f4e-a18a-81b29dd54644,count-watch-episode-series-fc2e10fd-490d-4f4e-a18a-81b29dd54644,2021-05-19 16:04:35,42659028,count-watch-episode-series,,,,,,,,,,,,,,,,,,,,,
,2020-12-27 12:32:18,,61,,count-watch-episode-total,2021-11-07 13:54:27,42659028,count-watch-episode-total,,,,,,,,,,,,,,,,,,,,,
